2023-12-24 20:17:23.285,9128283H1,98-316,99-001,0.0148089
2023-12-24 20:17:23.301,9128283H1,98-317,99-002,0.0130501
2023-12-24 20:17:23.318,9128283H1,99-000,99-003,0.0117552
2023-12-24 20:17:23.338,9128283H1,99-001,99-00+,0.0102035
2023-12-24 20:17:23.347,9128283H1,99-002,99-005,0.0147608
2023-12-24 20:17:23.352,9128283H1,99-003,99-006,0.0113094
2023-12-24 20:17:23.365,9128283H1,99-00+,99-007,0.0143305
2023-12-24 20:17:23.380,9128283H1,99-005,99-010,0.0103743
2023-12-24 20:17:23.383,9128283H1,99-006,99-011,0.0154622
2023-12-24 20:17:23.386,9128283H1,99-007,99-012,0.0141107
2023-12-24 20:17:23.400,9128283H1,99-010,99-013,0.0139157
2023-12-24 20:17:23.419,9128283H1,99-011,99-01+,0.0119446
2023-12-24 20:17:23.425,9128283H1,99-012,99-015,0.0138673
2023-12-24 20:17:23.444,9128283H1,99-013,99-016,0.0101625
2023-12-24 20:17:23.463,9128283H1,99-01+,99-017,0.0141185
2023-12-24 20:17:23.470,9128283H1,99-015,99-020,0.00837237
2023-12-24 20:17:23.478,9128283H1,99-016,99-021,0.0111183
2023-12-24 20:17:23.479,9128283H1,99-017,99-022,0.00850528
2023-12-24 20:17:23.484,9128283H1,99-020,99-023,0.0107689
2023-12-24 20:17:23.494,9128283H1,99-021,99-02+,0.0106155
2023-12-24 20:17:23.495,9128283H1,99-022,99-025,0.0141853
2023-12-24 20:17:23.499,9128283H1,99-023,99-026,0.0123061
2023-12-24 20:17:23.515,9128283H1,99-02+,99-027,0.0139008
2023-12-24 20:17:23.522,9128283H1,99-025,99-030,0.0148879
2023-12-24 20:17:23.523,9128283H1,99-026,99-031,0.00851222
2023-12-24 20:17:23.542,9128283H1,99-027,99-032,0.0144882
2023-12-24 20:17:23.545,9128283H1,99-030,99-033,0.0105565
2023-12-24 20:17:23.563,9128283H1,99-031,99-03+,0.0151002
2023-12-24 20:17:23.572,9128283H1,99-032,99-035,0.00988325
2023-12-24 20:17:23.576,9128283H1,99-033,99-036,0.0144532
2023-12-24 20:17:23.595,9128283H1,99-03+,99-037,0.0144377
2023-12-24 20:17:23.609,9128283H1,99-035,99-040,0.00862253
2023-12-24 20:17:23.629,9128283H1,99-036,99-041,0.00817879
2023-12-24 20:17:23.630,9128283H1,99-037,99-042,0.0116989
2023-12-24 20:17:23.639,9128283H1,99-040,99-043,0.00944428
2023-12-24 20:17:23.654,9128283H1,99-041,99-04+,0.00983095
2023-12-24 20:17:23.656,9128283H1,99-042,99-045,0.0134264
2023-12-24 20:17:23.661,9128283H1,99-043,99-046,0.0116412
2023-12-24 20:17:23.679,9128283H1,99-04+,99-047,0.00789764
2023-12-24 20:17:23.698,9128283H1,99-045,99-050,0.00974237
2023-12-24 20:17:23.713,9128283H1,99-046,99-051,0.0153081
2023-12-24 20:17:23.715,9128283H1,99-047,99-052,0.0121307
2023-12-24 20:17:23.731,9128283H1,99-050,99-053,0.0131545
2023-12-24 20:17:23.750,9128283H1,99-051,99-05+,0.00825951
2023-12-24 20:17:23.761,9128283H1,99-052,99-055,0.0102339
2023-12-24 20:17:23.764,9128283H1,99-053,99-056,0.0108116
2023-12-24 20:17:23.770,9128283H1,99-05+,99-057,0.0110798
2023-12-24 20:17:23.786,9128283H1,99-055,99-060,0.0113194
2023-12-24 20:17:23.805,9128283H1,99-056,99-061,0.0108804
2023-12-24 20:17:23.817,9128283H1,99-057,99-062,0.0105654
2023-12-24 20:17:23.831,9128283H1,99-060,99-063,0.010047
2023-12-24 20:17:23.843,9128283H1,99-061,99-06+,0.00847118
2023-12-24 20:17:23.847,9128283H1,99-062,99-065,0.0127396
2023-12-24 20:17:23.863,9128283H1,99-063,99-066,0.0143606
2023-12-24 20:17:23.879,9128283H1,99-06+,99-067,0.0148917
2023-12-24 20:17:23.885,9128283H1,99-065,99-070,0.00900077
2023-12-24 20:17:23.897,9128283H1,99-066,99-071,0.0140953
2023-12-24 20:17:23.913,9128283H1,99-067,99-072,0.010071
2023-12-24 20:17:23.927,9128283H1,99-070,99-073,0.0130361
2023-12-24 20:17:23.945,9128283H1,99-071,99-07+,0.00978665
2023-12-24 20:17:23.961,9128283H1,99-072,99-075,0.0153588
2023-12-24 20:17:23.970,9128283H1,99-073,99-076,0.0134372
2023-12-24 20:17:23.984,9128283H1,99-07+,99-077,0.0142006
2023-12-24 20:17:23.989,9128283H1,99-075,99-080,0.0135514
2023-12-24 20:17:24.007,9128283H1,99-076,99-081,0.0121736
2023-12-24 20:17:24.024,9128283H1,99-077,99-082,0.0096259
2023-12-24 20:17:24.025,9128283H1,99-080,99-083,0.0124652
2023-12-24 20:17:24.031,9128283H1,99-081,99-08+,0.0102476
2023-12-24 20:17:24.043,9128283H1,99-082,99-085,0.00864378
2023-12-24 20:17:24.048,9128283H1,99-083,99-086,0.011261
2023-12-24 20:17:24.055,9128283H1,99-08+,99-087,0.0103726
2023-12-24 20:17:24.069,9128283H1,99-085,99-090,0.00797164
2023-12-24 20:17:24.079,9128283H1,99-086,99-091,0.0142236
2023-12-24 20:17:24.088,9128283H1,99-087,99-092,0.0107421
2023-12-24 20:17:24.092,9128283H1,99-090,99-093,0.0144863
2023-12-24 20:17:24.093,9128283H1,99-091,99-09+,0.0155129
2023-12-24 20:17:24.099,9128283H1,99-092,99-095,0.00882044
2023-12-24 20:17:24.112,9128283H1,99-093,99-096,0.00936965
2023-12-24 20:17:24.115,9128283H1,99-09+,99-097,0.00844596
2023-12-24 20:17:24.121,9128283H1,99-095,99-100,0.0092957
2023-12-24 20:17:24.135,9128283H1,99-096,99-101,0.0145121
2023-12-24 20:17:24.150,9128283H1,99-097,99-102,0.00995684
2023-12-24 20:17:24.168,9128283H1,99-100,99-103,0.00944173
2023-12-24 20:17:24.180,9128283H1,99-101,99-10+,0.0113409
2023-12-24 20:17:24.194,9128283H1,99-102,99-105,0.0126805
2023-12-24 20:17:24.201,9128283H1,99-103,99-106,0.0119665
2023-12-24 20:17:24.213,9128283H1,99-10+,99-107,0.00883981
2023-12-24 20:17:24.232,9128283H1,99-105,99-110,0.0134409
2023-12-24 20:17:24.242,9128283H1,99-106,99-111,0.0123044
2023-12-24 20:17:24.259,9128283H1,99-107,99-112,0.00845411
2023-12-24 20:17:24.264,9128283H1,99-110,99-113,0.00781824
2023-12-24 20:17:24.265,9128283H1,99-111,99-11+,0.0115403
2023-12-24 20:17:24.266,9128283H1,99-112,99-115,0.0103411
2023-12-24 20:17:24.278,9128283H1,99-113,99-116,0.0143906
2023-12-24 20:17:24.280,9128283H1,99-11+,99-117,0.0128377
