2024-01-02 16:51:43.039,9128283H1,98-317,0-003
2024-01-02 16:51:43.340,9128283H1,99-312,0-002
2024-01-02 16:51:43.641,9128283L2,100-315,0-002
2024-01-02 16:51:43.942,9128283L2,99-206,0-002
2024-01-02 16:51:44.243,912828M80,100-036,0-003
2024-01-02 16:51:44.545,912828M80,100-085,0-002
2024-01-02 16:51:44.846,9128283J7,99-080,0-003
2024-01-02 16:51:45.147,9128283J7,99-285,0-002
2024-01-02 16:51:45.448,9128283F5,100-107,0-003
2024-01-02 16:51:45.749,9128283F5,100-110,0-003
2024-01-02 16:51:46.050,912810TW8,100-016,0-002
2024-01-02 16:51:46.351,912810RZ3,99-111,0-003
2024-01-02 16:51:46.652,912810RZ3,99-27+,0-003
